"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 02:40:35 UTC 2024","Sat Mar 02 02:40:35 UTC 2024","361","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Mar 02 02:19:23 UTC 2024","Sat Mar 02 02:19:39 UTC 2024","15987","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Mar 02 02:35:30 UTC 2024","Sat Mar 02 02:36:24 UTC 2024","53863","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Mar 02 02:25:53 UTC 2024","Sat Mar 02 02:25:59 UTC 2024","6092","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Mar 02 02:39:33 UTC 2024","Sat Mar 02 02:39:40 UTC 2024","7128","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Mar 02 02:45:02 UTC 2024","Sat Mar 02 02:46:09 UTC 2024","67748","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Mar 02 02:40:32 UTC 2024","Sat Mar 02 02:40:35 UTC 2024","3112","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Mar 02 02:54:02 UTC 2024","Sat Mar 02 02:54:28 UTC 2024","25974","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Mar 02 04:32:08 UTC 2024","Sat Mar 02 04:32:18 UTC 2024","10163","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sat Mar 02 03:39:59 UTC 2024","Sat Mar 02 03:40:06 UTC 2024","6545","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Mar 02 02:53:38 UTC 2024","Sat Mar 02 02:53:51 UTC 2024","12835","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Mar 02 02:43:13 UTC 2024","Sat Mar 02 02:43:14 UTC 2024","389","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Mar 02 04:32:21 UTC 2024","Sat Mar 02 04:32:24 UTC 2024","3015","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Mar 02 02:18:53 UTC 2024","Sat Mar 02 02:19:15 UTC 2024","21548","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
